"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","depth","COVMAX","HTMAX","holdup","bd1","fc","WP","OC","dep","app_rate","app_eff","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed"
"254",0.706,15.778,0.191,2.299,0.442,3.194,3597.362,74.347,0.267,0.058,75.593,0.647,815.283,0.255,1.547,0.36,0.158,2.827,1.914,2.02,0.817,0.06,0.06,601.43,23.382,22.682,62.062,13.706,17.338,23.323,24.035,8.501,0.539,0.149,1.562,0.392,23.951,2.95,61.263,1.246,0.875,6.799,8.128,0,3.2888,4.2284,3.1849,0.044229,602,26.625858
"255",0.705,10.392,0.594,3.575,0.741,1.351,1099.233,77.064,0.426,0.188,87.169,0.387,889.819,0.295,1.67,0.355,0.137,3.742,4.197,1.246,0.418,0.016,0.016,800.788,15.16,32.095,91.175,14.443,13.566,33.951,23.409,65.312,0.164,0.736,1.222,0.284,1.364,0.805,61.693,1.198,0.942,0.599,7.902,0.001,3.7757,8.7465,6.7808,0.32465,801,260.04465
"256",0.611,16.694,0.159,4.788,0.147,4.854,4348.977,74.586,0.356,0.267,136.182,0.686,772.292,0.204,1.418,0.34,0.16,1.643,0.114,2.689,0.458,0.082,0.082,740.97,27.707,20.698,114.913,11.981,1.105,40.938,7.154,89.208,0.43,0.656,1.655,0.576,24.705,3.327,60.477,0.944,0.379,13.433,5.508,0,3.3366,6.4287,4.4059,0.064299,741,47.645559
"257",0.63,30.654,0.534,3.976,0.118,1.65,2631.212,76.519,0.316,0.465,13.595,0.84,652.867,0.168,1.353,0.311,0.232,1.912,3.054,2.214,0.156,0.058,0.058,837.189,7.882,12.005,69.956,21.716,8.886,19.741,16.708,75.164,0.781,0.471,1.479,0.799,24.949,0.235,79.665,1.175,0.159,7.494,1.431,0.001,3.192,1.0917,0.74468,0.0056504,838,4.7350352
"258",0.656,33.991,0.411,4.897,0.535,4.952,4085.118,65.027,0.403,0.461,34.426,0.156,686.787,0.266,1.744,0.364,0.122,3.977,2.62,1.084,0.807,0.039,0.039,661.679,8.508,26.638,46.972,17.364,22.927,15.437,49.757,6.383,0.175,0.545,1.195,0.609,15.387,2.332,40.316,0.532,0.949,12.871,4.682,0.001,2.4205,3.6055,2.9528,0.12098,662,80.08876
"259",0.706,12.28,0.313,4.05,0.18,4.665,1350.001,86.744,0.43,0.305,88.48,0.921,642.726,0.229,1.428,0.331,0.209,2.532,0.476,1.935,0.451,0.079,0.079,787.456,31.19,14.976,145.065,28.319,20.933,42.588,22.64,52.528,0.036,0.363,1.08,0.382,5.191,0.632,18.659,1.215,0.69,13.675,6.993,0.001,5.0346,16.788,12.542,2.4469,788,1928.1572
"260",0.776,12.376,0.112,2.424,0.125,3.07,1714.636,80.563,0.894,0.144,124.672,0.355,890.735,0.229,1.651,0.386,0.15,2.733,5.418,2.094,0.689,0.025,0.025,602.59,26.584,21.105,68.598,31.318,10.202,12.214,5.126,57.933,0.165,0.286,1.316,0.76,31.529,4.136,71.213,1.015,0.814,2.119,7.676,0,4.4444,4.9819,3.618,0.27708,603,167.07924
"261",0.728,16.831,0.545,0.542,0.868,1.182,4510.399,75.351,0.888,0.014,77.642,0.408,757.555,0.167,1.311,0.363,0.18,2.26,1.735,1.676,0.791,0.09,0.09,675.187,18.719,33.245,73.077,9.257,18.171,15.733,16.438,18.952,0.951,0.202,1.639,0.219,45.241,3.777,29.263,0.933,0.757,6.161,7.496,0,3.2806,5.5617,4.0426,0.025404,675,17.1477
"262",0.679,13.38,0.249,1.04,0.811,0.234,2048.997,90.224,0.11,0.151,92.278,0.18,836.449,0.265,1.152,0.285,0.198,3.747,0.581,2.823,0.892,0.039,0.039,912.416,6.53,11.734,125.158,6.864,23.411,43.386,1.455,55.375,0.583,0.511,0.935,0.254,53.59,2.762,1.021,0.358,0.92,13.295,8.413,0.001,5.5251,47.52,27.38,0.41304,913,377.10552
"263",0.78,33.568,0.647,3.793,0.832,3.442,2105.297,68.972,0.469,0.259,76.19,0.765,730.359,0.286,1.244,0.323,0.138,2.763,3.448,0.747,0.658,0.074,0.074,921.046,28.23,27.432,145.709,33.276,15.766,20.912,35.753,49.782,0.941,0.433,1.363,0.143,47.033,2.34,48.707,0.379,0.969,1.194,4.292,0.001,2.609,1.4098,1.1151,0.021948,921,20.214108
"264",0.643,32.878,0.172,3.915,0.526,4.856,1715.98,78.111,0.418,0.362,30.122,0.766,644.267,0.195,0.88,0.412,0.052,0.779,4.015,2.418,0.682,0.068,0.068,607.716,28.176,25.946,125.595,27.373,5.43,13.882,48.894,25.52,0.955,0.303,0.937,0.339,11.234,2.76,12.057,1.43,0.894,13.661,6.387,0.001,4.7449,11.035,8.5666,0.1932,608,117.4656
"265",0.624,23.879,0.367,4.639,0.579,4.071,60.253,65.996,0.837,0.433,79.952,0.06,585.231,0.204,0.865,0.296,0.183,3.718,0.161,1.886,0.854,0.031,0.031,642.314,34.608,32.169,39.83,30.347,12.736,26.832,35.1,45.364,0.333,0.679,0.87,0.428,54.219,0.108,32.295,1.087,0.325,0.296,7.345,0,1.9737,66.604,57.353,1.7482,643,1124.0926
"266",0.791,24.888,0.204,0.564,0.554,3.301,519.367,74.569,0.488,0.369,14.115,0.422,811.077,0.265,0.863,0.28,0.109,2.375,5.018,2.181,0.167,0.033,0.033,921.598,18.937,25.679,103.217,5.729,8.385,31.195,33.389,65.978,0.511,0.255,1.097,0.832,50.757,2.145,2.346,0.179,0.192,0.737,3.828,0.001,3.4992,1.2325,0.92647,0.010437,922,9.622914
"267",0.648,17.543,0.176,2.166,0.62,4.897,4155.084,82.976,0.923,0.443,121.781,0.052,561.303,0.217,1.622,0.267,0.206,3.836,5.981,2.655,0.527,0.064,0.064,661.92,31.843,30.592,31.181,14.487,17.554,12.883,28.346,52.061,0.082,0.713,1.098,0.725,47.481,2.722,49.928,0.226,0.994,9.722,7.358,0,4.1318,4.6635,3.5904,0.25822,663,171.19986
"268",0.608,15.967,0.074,4.96,0.102,1.491,4661.157,73.061,0.739,0.419,129.958,0.052,883.02,0.291,0.868,0.38,0.067,0.644,5.974,1.936,0.729,0.076,0.076,785.899,19.867,31.584,119.691,5.228,20.651,43.652,38.918,76.819,0.705,0.574,1.011,0.818,17.51,3.041,18.241,0.185,0.988,2.67,6.166,0,3.84,2.5891,1.9631,0.016865,786,13.25589
"269",0.674,29.026,0.265,2.577,0.801,3.52,4059.192,80.355,0.38,0.215,99.708,0.314,764.33,0.235,1.458,0.297,0.234,2.815,2.393,1.176,0.864,0.079,0.079,606.462,15.37,23.729,50.916,17.287,19.315,35.595,40.257,10.1,0.114,0.121,1.389,0.266,32.138,1.467,3.076,0.111,0.722,6.714,9.03,0,3.6323,6.1378,4.6509,0.26046,607,158.09922
"270",0.678,31.712,0.375,0.146,0.799,4.293,2687.525,87.892,0.921,0.381,78.454,0.937,706.704,0.235,1.022,0.277,0.091,3.791,4.762,2.879,0.914,0.047,0.047,636.437,19.073,31.307,35.356,8.295,4.815,9.193,13.131,3.278,0.035,0.224,0.945,0.86,22.641,3.799,36.911,0.82,0.764,9.428,1.544,0,5.6622,16.095,12.04,1.6941,637,1079.1417
"271",0.761,26.345,0.43,0.625,0.73,0.121,609.206,66.98,0.421,0.346,37.651,0.074,582.249,0.242,1.357,0.261,0.14,3.421,2.217,0.654,0.71,0.069,0.069,712.766,16.794,12.869,137.203,23.226,3.318,38.41,43.53,57.144,0.881,0.34,1.411,0.062,25.342,3.428,56.433,0.964,0.829,8.899,6.863,0,2.1973,0.38937,0.32318,0.0049389,713,3.5214357
"272",0.8,20.553,0.094,3.5,0.869,3.042,2885.847,76.629,0.198,0.362,40.663,0.306,653.009,0.271,1.161,0.341,0.113,2.026,0.873,2.992,0.553,0.04,0.04,977.888,5.62,9.598,57.094,25.518,13.116,5.109,37.974,43.715,0.188,0.428,1.112,0.133,36.498,2.799,10.974,1.154,0.799,3.681,6.689,0.001,3.9273,13.621,9.4208,0.54056,978,528.66768
"273",0.657,30.459,0.619,2.704,0.316,0.585,748.94,69.767,0.697,0.026,90.342,0.385,626.865,0.189,0.957,0.319,0.077,2.297,5.58,1.352,0.159,0.098,0.098,998.089,7.974,25.6,41.43,33.598,20.414,36.094,39.872,60.043,0.625,0.511,1.191,0.862,40.15,4.14,44.926,1.479,0.204,13.066,4.396,0,3.2272,0.53991,0.38226,0.0046226,999,4.6179774
"274",0.66,17.93,0.246,3.551,0.254,0.378,1753.793,86.78,0.196,0.156,97.714,0.676,543.808,0.124,1.067,0.386,0.072,2.265,2.377,0.943,0.429,0.098,0.098,780.764,17.606,20.392,24.841,24.456,13.899,28.915,18.797,57.312,0.57,0.255,1.007,0.133,54.245,2.501,54.516,0.242,0.638,7.608,0.803,0,5.8914,2.8447,2.0895,0.024835,781,19.396135
"275",0.667,25.413,0.619,2.184,0.852,4.865,2679.44,78.385,0.521,0.183,112.22,0.992,771.311,0.26,1.63,0.301,0.194,2.701,5.538,1.876,0.263,0.017,0.017,655.937,18.89,33.837,121.219,27.645,19.247,35.517,16.291,42.202,0.688,0.8,1.619,0.829,55.973,0.171,5.669,1.208,0.435,12.82,4.123,0,3.5038,6.2293,4.596,0.088285,656,57.91496
"276",0.652,18.878,0.419,4.927,0.268,4.922,1197.842,64.921,0.227,0.323,139.345,0.368,898.101,0.122,1.486,0.338,0.055,3.519,2.013,1.453,0.91,0.036,0.036,743.943,11.055,17.997,88.857,32.381,9.546,40.411,11.136,2.795,0.958,0.236,1.268,0.818,18.152,2.413,33.266,0.728,0.251,8.383,6.472,0.001,2.9033,6.5602,4.9715,0.066985,744,49.83684
"277",0.673,25.612,0.393,3.507,0.768,0.886,2128.986,84.383,0.147,0.28,18.471,0.422,767.424,0.273,1.249,0.416,0.231,1.352,4.086,2.053,0.457,0.01,0.01,653.31,13.408,18.335,32.633,24.184,3.105,26.793,1.809,9.233,0.051,0.129,1.103,0.848,21.643,4.955,40.182,0.572,0.551,0.288,6.194,0,4.5911,21.394,13.756,1.2365,653,807.4345
"278",0.71,17.896,0.228,1.714,0.125,0.218,181.821,67.343,0.729,0.101,103.526,0.799,755.52,0.254,1.344,0.39,0.079,2.081,2.2,2.277,0.652,0.069,0.069,956.86,23.446,24.149,121.573,27.757,14.101,41.87,41.294,69.017,0.921,0.443,1.185,0.821,18.628,0.286,39.77,1.497,0.507,14.287,8.495,0.001,3.0019,2.8796,2.1267,0.024164,957,23.124948
"279",0.646,25.214,0.061,2.078,0.395,1.366,4174.109,64.108,0.28,0.211,111.019,0.992,787.037,0.141,0.949,0.26,0.092,2.297,3.653,0.496,0.92,0.06,0.06,686.457,20.844,33.783,16.716,25.24,11.774,42.921,8.749,28.24,0.485,0.4,1.476,0.48,50.691,3.285,75.637,0.147,0.485,11.018,1.262,0,2.2562,0.44001,0.32959,0.0024345,687,1.6725015
"280",0.615,22.377,0.305,1.774,0.701,3.719,3317.912,65.85,0.543,0.343,77.817,0.684,525.002,0.18,1.673,0.3,0.143,2.179,5.912,0.726,0.578,0.037,0.037,750.686,33.194,34.435,71.074,5.125,7.566,29.278,25.319,73.925,0.445,0.37,1.088,0.501,6.016,2.701,75.938,1.426,0.933,1.972,5.934,0.001,2.1997,0.5553,0.46016,0.0059614,751,4.4770114
"281",0.794,13.734,0.165,1.395,0.397,0.826,1169.648,86.567,0.268,0.251,99.307,0.818,556.856,0.231,1.373,0.309,0.223,3.465,3.027,0.801,0.982,0.09,0.09,608.69,19.156,22.995,54.21,18.583,13.069,35.863,13.904,79.062,0.709,0.767,1.237,0.766,41.957,2.184,66.997,1.318,0.797,7.487,6.743,0.001,4.9457,3.1767,2.3367,0.021486,609,13.084974
"282",0.777,21.918,0.279,3.322,0.345,4.779,3897.045,82.209,0.324,0.184,78.576,0.283,881.365,0.248,1.466,0.347,0.123,0.055,4.043,1.249,0.294,0.063,0.063,836.345,27.078,25.725,76.61,25.275,20.583,30.755,6.801,44.562,0.052,0.475,0.983,0.262,45.879,1.179,67.433,1.125,0.236,4.886,9.677,0.001,4.6439,1.32,0.963,0.14552,837,121.80024
"283",0.633,20.953,0.395,2.946,0.209,3.94,4443.366,75.22,0.712,0.326,42.472,0.862,545.528,0.246,1.397,0.297,0.086,1.718,0.633,2.428,0.111,0.093,0.093,894.882,18.653,26.648,105.512,18.012,18.021,35.101,46.09,55.083,0.946,0.118,1.725,0.698,36.946,4.481,44.125,0.26,0.754,9.162,4.026,0,3.7267,2.3128,1.5411,0.01193,895,10.67735
"284",0.788,17.226,0.388,2.685,0.641,2.162,28.098,62.562,0.826,0.187,66.561,0.81,699.262,0.26,1.238,0.266,0.122,0.369,5.576,1.051,0.31,0.099,0.099,868.7,25.847,13.191,83.425,17.89,11.516,33.882,44.888,66.88,0.244,0.391,1.757,0.345,45.097,4.864,11.698,0.686,0.831,13.198,1.343,0.001,1.9183,0.3238,0.21781,0.004021,869,3.494249
"285",0.753,14.272,0.19,2.824,0.955,2.003,1283.392,61.748,0.448,0.406,6.874,0.288,529.403,0.15,1.267,0.294,0.159,2.889,5.397,0.794,0.65,0.075,0.075,895.231,16.861,21.582,13.603,25.425,6.387,6.301,27.438,33.633,0.147,0.463,0.972,0.51,40.87,3.978,54.07,0.095,0.125,13.585,0.325,0.001,1.6189,0.29071,0.22467,0.0052479,896,4.7021184
"286",0.645,20.413,0.625,1.876,0.531,2.698,629.03,78.805,0.396,0.295,98.632,0.37,755.659,0.114,1.211,0.318,0.203,3.261,1.128,2.887,0.534,0.092,0.092,932.118,16.297,10.93,51.03,32.825,13.257,21.929,39.713,41.372,0.923,0.68,0.86,0.18,26.98,1.919,74.516,1.428,0.924,13.03,0.878,0,3.6867,12.529,9.9789,0.13536,933,126.29088
"287",0.655,33.104,0.29,3.94,0.809,4.242,3240.091,89.034,0.747,0.392,127.097,0.414,712.352,0.191,1.666,0.295,0.196,0.135,2.703,1.41,0.678,0.073,0.073,901.014,31.457,18.546,33.491,19.634,6.267,43.121,2.965,52.883,0.745,0.625,0.912,0.075,11.208,0.637,33.569,1.041,0.99,2.441,6.593,0,5.3894,11.897,8.5086,0.12958,902,116.88116
"288",0.701,25.503,0.619,1.433,0.167,4.192,1505.971,79.692,0.227,0.113,120.716,0.68,869.845,0.256,0.898,0.257,0.068,2.231,1.504,2.975,0.125,0.098,0.098,634.429,16.875,11.414,132.183,7.057,5.642,19.386,17.062,6.745,0.546,0.677,0.895,0.63,44.236,0.077,18.765,1.394,0.209,6.933,7.206,0.001,4.5319,2.7345,2.0802,0.026782,635,17.00657
"289",0.629,21.184,0.576,3.537,0.318,1.912,4229.739,88.33,0.761,0.302,35.691,0.762,850.954,0.152,1.399,0.254,0.113,3.512,2.116,1.439,0.747,0.056,0.056,908.738,12.07,6.321,50.985,26.813,3.436,8.698,34.633,44.83,0.564,0.151,0.869,0.514,47.92,0.258,55.704,1.389,0.28,3.184,5.796,0.001,5.4619,19.638,14.008,0.39869,909,362.40921
"290",0.65,14.484,0.615,1.14,0.822,3.879,4285.017,84.559,0.393,0.21,82.636,0.745,773.153,0.177,1.357,0.401,0.186,1.958,5,0.253,0.676,0.062,0.062,731.975,8.726,16.658,62.37,34.92,12.404,34.666,22.189,22.444,0.288,0.312,1.726,0.855,21.669,2.689,56.294,0.974,0.223,13.255,5.016,0,4.9131,0.80196,0.53292,0.025585,732,18.72822
"291",0.687,20.964,0.454,0.735,0.708,0.385,1442.082,88.324,0.975,0.055,128.227,0.747,743.532,0.202,1.308,0.351,0.145,0.196,1.145,2.617,0.466,0.056,0.056,887.717,14.306,21.417,147.47,20.869,17.91,11.939,1.977,18.155,0.782,0.185,1.477,0.034,11.953,2.191,2.48,0.733,0.287,12.066,5.54,0,5.5251,21.786,13.181,0.31538,888,280.05744
"292",0.758,28.56,0.071,1.897,0.766,3.005,3454.63,61.987,0.669,0.139,31.459,0.683,895.778,0.149,1.347,0.347,0.066,3.271,3.679,0.275,0.228,0.077,0.077,955.893,10.715,29.433,52.862,15.863,1.969,21.955,16.007,44.757,0.999,0.769,0.97,0.411,12.529,3.112,73.643,1.354,0.52,13.608,0.697,0,2.3981,0.058671,0.045921,0.0002534,957,0.2425038
"293",0.736,28.17,0.459,2.714,0.808,3.666,3542.584,74.873,0.065,0.153,44.979,0.252,892.465,0.29,1.64,0.419,0.102,2.365,2.388,0.954,0.344,0.089,0.089,670.664,15.012,8.299,132.269,16.415,10.925,38.004,10.612,22.632,0.825,0.399,1.147,0.835,26.042,3.856,39.169,1.266,0.868,0.647,4.946,0.001,3.9034,0.92155,0.67649,0.00726,671,4.87146
"294",0.708,15.226,0.555,4.726,0.744,4.805,2786.726,80.046,0.14,0.358,55.944,0.29,829.981,0.2,1.299,0.343,0.217,3.082,5.815,2.228,0.382,0.029,0.029,826.368,17.834,33.212,82.086,7.019,9.783,34.209,31.932,18.713,0.669,0.346,1.731,0.469,47.637,1.005,18.548,0.36,0.664,14.428,3.751,0.001,3.7892,4.613,3.1825,0.028077,827,23.219679
"295",0.769,26.325,0.079,3.728,0.41,1.144,3514.529,62.616,0.663,0.403,24.726,0.516,879.316,0.216,1.407,0.335,0.194,3.628,5.014,0.534,0.244,0.076,0.076,940.505,17.229,17.944,128.319,21.748,17.433,20.034,3.187,63.526,0.489,0.706,1.309,0.303,46.56,0.037,28.863,0.531,0.211,8.071,4.994,0.001,1.7185,0.052606,0.034326,0.00045983,941,0.43270003
"296",0.707,26.141,0.262,4.799,0.332,4.03,3376.781,65.387,0.783,0.404,41.812,0.701,779.144,0.146,1.463,0.312,0.116,3.338,2.206,2.605,0.98,0.014,0.014,965.423,5.778,5.123,13.499,23.865,20.325,24.04,33.199,23.167,0.745,0.158,1.014,0.814,55.544,0.596,65.338,1.254,0.647,9.586,5.359,0.001,2.2893,36.803,26.174,0.10968,966,105.95088
"297",0.645,19.14,0.537,0.401,0.25,1.632,3654.764,66.477,0.639,0.008,108.158,0.166,624.24,0.146,1.267,0.409,0.23,2.219,0.761,1.248,0.217,0.069,0.069,729.492,5.185,11.182,51.741,9.356,11.692,31.211,15.265,48.494,0.429,0.424,1.071,0.843,52.407,1.936,30.609,0.747,0.619,13.943,5.447,0,2.0345,0.52121,0.39273,0.0037071,730,2.706183
"298",0.64,12.653,0.235,1.468,0.383,2.117,4263.519,61.915,0.777,0.132,45.32,0.691,892.371,0.131,1.682,0.383,0.177,0.265,5.718,2.152,0.458,0.063,0.063,733.857,12.61,20.952,54.599,18.858,7.972,7.009,49.122,64.152,0.958,0.795,0.932,0.636,11.342,0.987,18.873,0.615,0.437,8.088,4.726,0,1.7479,0.38574,0.31558,0.0026198,735,1.925553
"299",0.644,33.338,0.056,2.823,0.933,0.154,3572.925,62.657,0.208,0.299,42.625,0.575,691.3,0.121,1.04,0.341,0.125,1.342,5.78,0.5,0.231,0.039,0.039,624.374,10.96,12.694,70.947,26.773,6.6,38.359,14.118,62.291,0.21,0.591,1.112,0.159,50.268,1.443,50.948,0.099,0.095,3.814,1.009,0,2.1126,0.12457,0.099585,0.0034376,625,2.1485
"300",0.732,30.156,0.625,0.783,0.938,1.04,2296.632,64.669,0.235,0.38,115.737,0.18,684.863,0.148,1.047,0.334,0.065,0.69,5.119,0.509,0.31,0.089,0.089,728.011,10.872,27.184,30.255,34.213,7.205,26.042,47.794,4.585,0.632,0.114,1.429,0.588,35.861,1.797,20.764,0.427,0.255,8.751,5.818,0,2.8838,0.19527,0.14816,0.0014825,728,1.07926
"301",0.639,24.536,0.457,4.48,0.784,4.444,2997.023,83.867,0.522,0.294,122.353,0.832,595.686,0.246,1.471,0.343,0.122,3.995,1.547,0.371,0.491,0.097,0.097,674.29,12.305,10.422,127.657,12.472,12.573,8.79,5.015,37.532,0.979,0.113,1.305,0.163,53.445,2.01,2.377,0.322,0.449,10.542,0.357,0,4.9343,3.8696,2.6231,0.027813,674,18.745962
"302",0.752,29.841,0.147,0.698,0.799,0.66,3988.773,69.804,0.884,0.328,138.492,0.151,507.039,0.261,1.335,0.305,0.098,0.313,0.823,2.593,0.507,0.04,0.04,814.642,29.551,27.955,94.523,12.942,14.615,20.194,3.99,14.049,0.283,0.697,1.306,0.793,23.572,2.394,77.21,1.188,0.671,5.342,6.712,0.001,2.9938,7.731,5.6095,0.14485,815,118.05275
"303",0.673,25.889,0.283,1.34,0.531,3.246,4523.06,79.085,0.367,0.383,56.108,0.28,600.144,0.257,1.246,0.324,0.096,2.574,3.701,1.914,0.84,0.052,0.052,947.973,33.856,13.739,11.42,10.281,6.283,37.519,11.234,9.953,0.599,0.659,1.594,0.221,14.236,1.822,10.374,0.851,0.336,11.183,1.891,0.001,4.3276,5.5082,3.5539,0.018925,948,17.9409
"304",0.617,18.854,0.153,0.714,0.143,1.342,2328.579,77.941,0.214,0.262,30.225,0.023,563.965,0.194,1.468,0.314,0.171,0.731,4.458,1.514,0.334,0.066,0.066,677.198,18.535,25.817,5.957,16.133,20.602,28.156,14.47,4.75,0.667,0.119,1.619,0.751,13.358,1.216,27.429,1.329,0.476,6.174,2.32,0.001,3.6403,0.63678,0.45057,0.0015503,677,1.0495531
"305",0.717,17.127,0.545,1.15,0.7,1.849,2025.291,84.673,0.439,0.195,80.54,0.27,853.217,0.182,1.111,0.317,0.178,3.434,2.544,1.472,0.413,0.035,0.035,947.243,14.239,23.877,101.367,6.011,16.748,43.604,44.418,30.766,0.919,0.521,1.366,0.476,12.401,1.057,70.023,0.671,0.828,7.53,0.348,0,4.7713,6.4824,4.6283,0.049754,948,47.166792
"306",0.7,34.63,0.417,4.168,0.138,3.643,3790.452,73.482,0.052,0.2,78.683,0.408,787.111,0.111,1.455,0.265,0.164,0.569,0.525,1.46,0.902,0.046,0.046,664.297,7.737,19.384,94.043,21.768,11.637,18.247,40.024,35.005,0.489,0.75,1.421,0.042,58.061,0.326,41.383,0.004,0.097,10.781,9.055,0,2.8193,4.2112,3.262,0.07145,665,47.51425
"307",0.612,33.599,0.497,0.651,0.707,3.277,2361.193,80.581,0.692,0.097,75.802,0.412,538.679,0.279,1.189,0.298,0.088,3.966,4.564,1.958,0.925,0.017,0.017,803.609,10.542,8.921,76.901,23.393,0.414,19.091,25.389,46.603,0.451,0.669,0.936,0.606,16.32,0.752,21.73,1.493,0.44,11.456,0.692,0,4.6498,25.784,18.605,0.53495,804,430.0998
"308",0.678,33.561,0.582,1.178,0.656,4.92,2190.613,90.167,0.943,0.229,55.345,0.955,534.631,0.256,1.544,0.287,0.135,2.745,4.234,0.775,0.762,0.024,0.024,845.657,27.538,10.88,30.58,23.468,13.212,34.264,5.041,29.674,0.457,0.782,1.485,0.964,20.986,2.337,49.993,1.316,0.841,10.64,2.978,0.001,5.779,10.284,6.307,0.15023,846,127.09458
"309",0.745,26.221,0.262,3.094,0.469,2.315,761.39,72.683,0.071,0.301,8.633,0.867,630.956,0.248,1.061,0.263,0.188,3.511,5.475,1.271,0.42,0.062,0.062,793.655,7.195,5.826,60.723,6.05,21.218,42.274,26.466,39.727,0.758,0.764,1.595,0.039,21.803,4.744,55.695,0.05,0.3,3.429,7.183,0,2.6525,0.50171,0.36608,0.0015669,794,1.2441186
"310",0.761,18.628,0.282,3.51,0.602,2.974,4275.224,83.552,0.618,0.218,42.352,0.891,738.086,0.101,0.997,0.27,0.12,1.635,0.669,1.119,0.266,0.08,0.08,793.576,7.523,13.674,120.19,20.324,19.571,25.829,19.029,57.541,0.567,0.681,1.029,0.213,31.602,0.137,40.94,0.019,0.082,10.225,2.966,0,4.7593,8.9582,6.4314,0.15497,794,123.04618
"311",0.681,23.492,0.609,1.218,0.812,4.491,658.277,72.126,0.334,0.351,47.78,0.905,868.119,0.241,1.511,0.319,0.161,3.829,3.312,1.626,0.862,0.091,0.091,658.116,12.212,29.847,43.229,12.241,2.582,39.579,0.529,3.846,0.349,0.687,1.139,0.9,6.775,4.211,40.108,0.367,0.685,13.396,8.443,0.001,2.8686,2.2106,1.0277,0.018167,659,11.972053
"312",0.609,34.2,0.553,2.229,0.318,1.425,905.662,67.703,0.36,0.118,33.237,0.609,617.24,0.225,1.154,0.285,0.21,2.26,3.908,0.871,0.735,0.014,0.014,712.457,25.614,5.6,123.11,7.57,21.85,41.991,36.429,2.308,0.543,0.338,1.522,0.907,58.332,0.924,1.535,1.335,0.252,4.922,3.543,0.001,2.0083,4.526,3.4091,0.024668,713,17.588284
"313",0.635,33.592,0.151,2.737,0.877,1.675,964.586,90.396,0.595,0.213,6.485,0.351,513.707,0.217,1.6,0.268,0.113,0.653,1.137,1.101,0.188,0.028,0.028,956.284,6.876,12.186,127.087,18.019,17.999,27.461,37.374,66.842,0.4,0.744,0.968,0.446,38.203,4.715,17.723,0.604,0.152,3.058,6.242,0,5.882,6.5968,4.2829,0.24497,957,234.43629
"314",0.695,21.796,0.552,0.643,0.106,1.631,45.533,70.606,0.104,0.007,84.751,0.954,660.011,0.186,1.414,0.253,0.104,3.448,5.638,1,0.534,0.037,0.037,754.906,12.476,16.009,30.418,19.324,2.841,37.639,34.586,49.671,0.891,0.617,1.408,0.555,57.385,3.088,20.263,0.823,0.491,13.841,3.091,0.001,2.9829,0.64247,0.4821,0.0023177,755,1.7498635
"315",0.797,34.66,0.47,2.569,0.359,3.831,300.389,67.551,0.393,0.293,50.031,0.249,574.308,0.154,0.903,0.387,0.203,1.938,5.786,2.793,0.802,0.087,0.087,810.203,11.34,13.27,118.965,33.02,24.546,9.529,43.008,3.204,0.336,0.542,1.048,0.203,24.138,4.2,67.589,0.159,0.589,7.963,5.143,0.001,2.3739,2.0339,1.6415,0.057451,811,46.592761
"316",0.752,19.733,0.608,2.157,0.891,4.108,3309.309,80.184,0.811,0.392,105.905,0.257,885.054,0.162,1.123,0.397,0.061,0.217,4.246,2.583,0.454,0.055,0.055,976.295,31.062,10.878,123.56,10.706,20.38,25.27,41.631,60.888,0.116,0.543,1.537,0.722,35.987,4.443,44.761,0.3,0.315,4.041,5.548,0,4.8978,14.053,9.1749,0.52981,977,517.62437
"317",0.701,24.978,0.447,4.761,0.901,4.226,1344.277,77.186,0.209,0.254,14.194,0.985,644.629,0.115,1.457,0.313,0.074,3.317,1.239,2.3,0.881,0.034,0.034,968.372,20.006,29.713,116.432,33.377,2.156,14.044,35.435,83.621,0.635,0.303,0.96,0.344,42.136,0.214,31.062,0.603,0.492,2.386,4.981,0,4.1933,42.614,32.22,1.249,969,1210.281
"318",0.758,18.483,0.578,1.365,0.461,1.702,2845.557,71.783,0.487,0.025,29.091,0.857,705.205,0.274,1.324,0.429,0.23,0.775,5.303,0.852,0.57,0.073,0.073,854.482,29.016,32.775,80.007,21.215,10.897,21.085,39.949,16.317,0.013,0.436,1.186,0.712,40.081,0.225,12.773,1.293,0.478,3.845,0.786,0,2.806,0.64461,0.51565,0.18387,855,157.20885
"319",0.707,34.545,0.131,3.047,0.389,4.567,3045.988,86.612,0.079,0.346,62.998,0.08,800.835,0.155,1.205,0.325,0.053,1.501,1.629,2.176,0.184,0.051,0.051,726.03,7.153,9.144,28.178,31.463,7.077,21.965,47.127,54.779,0.87,0.65,1.385,0.576,54.572,2.976,75.235,0.94,0.192,3.105,5.141,0,5.957,3.8004,2.545,0.028783,727,20.925241
