"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","CN_f","uslec_c","uslec_f","MNGN","depth","COVMAX","HTMAX","holdup","bd1","bd2","bd3","bd4","fc","WP","OC","dep","app_rate","app_eff","PLDKRT","DWRATE","DSRATE","koc","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf"
"1417",0.66,29.332,0.406,0.321,0.856,3.15,3173.169,61.059,85.963,0.54,0.537,0.172,116.412,0.433,736.275,0.255,1.592,1.686,1.696,0.988,1.253,0.355,0.201,1.255,4.394,1.537,0.194,0.416,0.416,0.098,621.914,33.141,25.695,71.25,30.854,16.109,27.319,17.446,49.487,0.591,0.73,0.907,0.878,49.68,2.589,22.814,0.201,0.885,10.591,8.891
"1418",0.745,29.993,0.187,0.231,0.697,4.015,4917.435,61.22,82.266,0.673,0.72,0.021,24.91,0.533,827.836,0.161,1.228,1.687,1.516,1.16,1.361,0.365,0.217,1.969,1.149,1.919,0.302,0.49,0.49,0.035,867.045,29.959,31.213,34.896,29.05,0.423,27.286,8.444,22.672,0.563,0.369,1.289,0.928,27.458,4.667,58.621,1.276,0.031,6.34,7.664
"1419",0.69,30.325,0.307,4.946,0.785,2.86,2359.703,68.693,86.726,0.385,0.825,0.23,43.01,0.165,762.818,0.173,1.129,1.223,1.222,1.159,1.462,0.377,0.213,0.553,2.951,0.745,0.869,0.479,0.479,0.023,830.304,7.58,25.581,49.183,13.527,4.808,10.501,3.416,52.299,0.243,0.229,1.267,0.679,17.424,2.05,76.79,0.113,0.019,6.481,6.18
"1420",0.697,29.242,0.551,1.303,0.679,3.095,2182.387,71.27,84.538,0.794,0.912,0.007,19.055,0.508,795.071,0.256,1.03,1.625,1.309,1.433,1.216,0.278,0.162,2.878,2.9,0.27,0.441,0.433,0.433,0.073,998.176,25.649,30.563,122.67,31.213,12.122,29.952,5.991,37.316,0.171,0.143,1.718,0.93,52.85,4.005,7.472,0.152,0.315,7.707,8.238
"1421",0.73,30.817,0.406,1.37,0.201,4.661,4475.957,67.847,85.536,0.585,0.225,0.11,4.928,0.009,876.559,0.195,1.595,1.371,1.545,1.74,1.742,0.391,0.141,0.085,1.995,0.86,0.973,0.336,0.336,0.08,610.5,7.752,8.972,5.853,30.946,10.983,39.623,9.15,41.933,0.506,0.15,1.305,0.987,40.109,3.463,52.03,1.144,0.372,4.133,6.879
"1422",0.623,13.943,0.637,0.931,0.728,1.056,2835.801,73.576,87.735,0.619,0.725,0.009,66.624,0.19,591.896,0.29,1.541,1.331,1.618,1.401,1.373,0.3,0.216,1.782,5.232,0.778,0.359,0.584,0.584,0.085,724.95,13.575,10.908,35.514,15.9,3.855,14.34,48.235,70.885,0.986,0.79,1.711,0.434,41.1,4.904,48.714,1.166,0.516,10.826,1.148
"1423",0.741,15.902,0.611,0.491,0.133,1.609,4495.539,79.225,86.421,0.153,0.606,0.378,118.512,0.183,554.657,0.204,1.242,1.179,1.71,1.221,0.972,0.339,0.117,3.858,2.457,1.76,0.6,0.442,0.442,0.027,794.708,32.767,12.61,141.534,21.673,1.874,15.378,3.78,66.432,0.566,0.107,1.475,0.855,13.384,2.016,29.98,1.133,0.7,4.319,5.89
"1424",0.724,10.169,0.08,0.693,0.65,2.044,3081.035,84.277,83.912,0.758,0.528,0.048,97.078,0.172,766.062,0.162,0.979,1.504,1.034,0.899,0.915,0.278,0.136,0.56,1.396,2.498,0.397,0.244,0.244,0.036,955.636,19.289,21.923,56.068,23.08,2.459,25.313,18.905,28.504,0.3,0.323,1.138,0.139,17.984,3.89,11.801,1.168,0.275,11.751,0.948
"1425",0.729,15.74,0.314,2.921,0.219,4.008,4654.708,77.393,86.065,0.024,0.82,0.26,107.93,0.737,878.95,0.148,1.006,1.545,1.283,1.369,1.546,0.275,0.152,1.888,5.576,1.941,0.949,0.647,0.647,0.077,957.148,20.599,6.983,37.164,22.57,24.692,37.204,34.487,37.9,0.49,0.246,0.919,0.247,52.671,4.126,1.088,0.204,0.613,8.092,4.572
"1426",0.687,22.719,0.325,2.918,0.695,0.048,2628.671,73.198,86.055,0.393,0.947,0.102,30.334,0.709,755.303,0.275,1.597,1.059,1.333,1.552,1.695,0.313,0.237,2.771,2.58,1.56,0.489,0.303,0.303,0.053,609.394,23.154,18.897,7.561,23.679,8.43,28.751,19.473,37.507,0.85,0.254,1.09,0.435,51.804,3.079,14.664,0.87,0.691,1.446,6.646
"1427",0.782,11.423,0.372,0.509,0.157,2.319,4143.731,72.646,84.841,0.613,0.966,0.215,65.54,0.651,651.104,0.228,1.023,1.525,1.333,1.289,1.473,0.299,0.116,2.968,2.723,2.223,0.124,0.411,0.411,0.062,780.798,17.657,12.251,74.265,31.115,1.178,23.196,33.753,43.154,0.808,0.622,0.933,0.841,0.519,0.113,0.283,0.481,0.304,9.06,7.522
"1428",0.714,19.213,0.642,0.386,0.211,2.266,756.235,88.611,86.464,0.204,0.186,0.397,121.774,0.17,760.789,0.198,0.867,1.353,1.239,1.003,1.634,0.392,0.216,1.703,3.873,1.528,0.689,0.255,0.255,0.083,626.449,11.49,33.141,146.317,5.11,24.932,19.701,3.201,60.412,0.69,0.343,1.654,0.898,48.738,1.258,12.349,0.119,0.624,13.963,5.089
"1429",0.74,31.698,0.522,0.541,0.708,0.546,4437.648,75.099,86.933,0.803,0.653,0.355,111.143,0.34,514.158,0.247,1.55,1.514,1.193,1.603,1.414,0.333,0.223,2.674,5.641,1.865,0.231,0.376,0.376,0.086,621.955,29.887,18.081,83.84,5.285,8.064,26.271,46.48,76.018,0.308,0.174,1.054,0.494,39.16,2.03,39.724,0.438,0.236,10.492,9.96
"1430",0.764,22.001,0.551,2.408,0.641,2.416,592.834,63.234,85.044,0.553,0.519,0.039,8.206,0.516,728.259,0.254,1.549,1.535,1.623,1.676,1.221,0.336,0.149,1.448,1.253,2.795,0.47,0.106,0.106,0.076,838.513,22.6,18.58,84.424,33.036,12.083,37.414,25.619,58.608,0.506,0.773,1.238,0.838,7.915,3.654,21.762,0.823,0.839,2.96,2.77
"1431",0.6,32.432,0.507,3.855,0.375,1.682,4024.343,78.76,83.721,0.662,0.28,0.034,51.65,0.463,512.757,0.223,1.055,1.465,1.206,1.688,1.316,0.337,0.091,1.854,4.061,0.746,0.75,0.382,0.382,0.043,618.629,11.486,18.891,36.083,11.097,18.824,24.518,40.711,4.181,0.905,0.584,1.595,0.824,12.903,0.745,48.056,1.025,0.386,7.994,1.428
"1432",0.782,19.702,0.614,3.39,0.689,4.136,2004.156,82.136,84.692,0.134,0.069,0.105,2.68,0.769,629.717,0.264,1.209,1.041,1.461,1.737,0.981,0.325,0.214,2.272,1.451,1.734,0.929,0.465,0.465,0.066,729.574,12.279,28.347,94.519,21.88,9.048,5.178,5.903,55.725,0.286,0.565,1.176,0.637,46.702,3.703,19.554,0.406,0.599,10.354,5.071
"1433",0.764,20.349,0.121,1.885,0.74,4.231,4859.605,88.946,86.548,0.883,0.854,0.456,57.264,0.626,806.764,0.216,1.108,1.029,1.012,0.878,1.587,0.337,0.228,3.257,2.313,1.132,0.805,0.334,0.334,0.062,889.208,27.543,12.409,87.99,14.449,14.71,24.846,29.499,10.07,0.546,0.673,1.365,0.455,41.413,3.087,19.211,0.52,0.194,14.123,7.528
"1434",0.642,21.349,0.109,0.457,0.753,0.814,4446.978,71.298,83.439,0.293,0.744,0.177,31.102,0.484,559.712,0.247,0.92,1.63,1.002,1.282,1.708,0.347,0.192,3.463,2.903,1.766,0.556,0.604,0.604,0.023,718.316,5.985,17.027,94.837,24.607,16.287,36.678,48.376,44.558,0.024,0.529,1.626,0.705,38.01,0.591,76.588,0.162,0.883,5.441,0.339
"1435",0.627,23.053,0.551,1.922,0.799,1.88,3709.234,74.625,85.001,0.959,0.947,0.013,75.489,0.575,871.371,0.183,1.629,1.09,1.364,1.153,1.358,0.404,0.223,1.238,1.387,1.826,0.866,0.254,0.254,0.019,630.031,33.693,9.726,122.522,24.35,15.581,39.848,43.229,59.814,0.035,0.6,1.034,0.795,14.866,1.13,41.647,1.145,0.128,8.559,8.113
"1436",0.747,34.482,0.304,3.749,0.458,3.541,585.661,69.642,85.42,0.043,0.842,0.43,22.378,0.94,592.704,0.149,1.574,1.238,1.663,1.72,1.172,0.359,0.14,2.392,0.397,0.846,0.349,0.203,0.203,0.028,789.123,33.952,26.453,37.78,11.929,8.733,15.27,40.971,64.253,0.333,0.737,1.577,0.945,27.67,4.053,17.27,0.515,0.491,4.073,3.034
"1437",0.744,23.891,0.579,0.837,0.85,4.119,474.535,80.771,82.576,0.333,0.887,0.13,4.909,0.202,691.036,0.15,1.497,1.189,1.726,1.52,1.702,0.421,0.062,2.701,2.378,1.175,0.272,0.476,0.476,0.02,808.954,6.338,24.635,100.167,11.28,24.804,37.156,32.161,54.389,0.325,0.182,1.324,0.42,43.959,0.835,77.394,0.638,0.082,14.439,0.35
"1438",0.764,13.072,0.14,3.44,0.631,4.682,1738.994,73.119,83.222,0.673,0.859,0.318,130.299,0.014,859.16,0.253,1.664,1.143,1.754,1.524,1.551,0.324,0.232,3.127,5.754,2.504,0.253,0.305,0.305,0.059,889.437,31.447,25.279,19.679,7.384,6.28,25.277,30.37,47.415,0.645,0.256,1.014,0.568,15.868,3.616,44.676,0.599,0.198,14.357,9.636
"1439",0.608,23.607,0.649,4.807,0.975,4.353,2278.199,88.326,85.859,0.084,0.844,0.321,51.441,0.168,652.225,0.177,0.944,1.527,1.156,0.976,1.088,0.272,0.057,0.878,2.952,0.838,0.148,0.383,0.383,0.059,914.215,15.347,32.308,34.921,18.489,15.357,36.217,22.117,75.255,0.464,0.347,1.284,0.734,43.986,1.095,73.927,0.217,0.776,1.627,3.594
"1440",0.615,32.277,0.596,1.169,0.378,0.875,1601.658,90.147,86.558,0.236,0.573,0.091,68.981,0.271,815.281,0.159,1.252,1.757,1.296,1.547,1.13,0.342,0.199,1.392,2.147,2.287,0.349,0.203,0.203,0.047,659.708,26.662,33.468,29.714,29.054,22.778,37.353,44.11,82.552,0.27,0.504,0.97,0.308,37.29,2.943,56.423,0.132,0.355,4.839,4.583
"1441",0.764,20.542,0.539,1.628,0.256,1.449,3733.048,68.785,86.655,0.86,0.375,0.277,109.626,0.43,644.508,0.137,1.048,1.287,0.997,0.862,1.343,0.39,0.211,3.935,2.674,1.309,0.366,0.625,0.625,0.045,981.563,30.658,11.012,99.942,7.153,23.528,35.869,16.228,41.236,0.705,0.741,0.965,0.584,34.233,0.908,17.808,0.079,0.089,5.768,5.476
"1442",0.794,13.961,0.647,2.329,0.623,2.812,4345.259,85.383,84.078,0.096,0.642,0.034,43.618,0.914,858.95,0.155,0.988,1.555,1.261,1.161,1.503,0.339,0.21,3.979,4.403,2.48,0.873,0.442,0.442,0.06,911.547,13.133,25.903,32.004,10.408,23.663,5.727,48.162,12.663,0.404,0.663,1.093,0.424,27.485,0.085,54.57,0.272,0.708,11.077,7.303
"1443",0.654,14.558,0.178,3.595,0.545,2.463,1330.712,84.579,82.34,0.836,0.828,0.278,126.379,0.945,835.264,0.24,1.442,1.224,1.413,1.579,1.51,0.34,0.058,0.904,5.948,1.073,0.657,0.603,0.603,0.017,796.586,6.93,17.898,122.568,6.947,16.934,41.318,34.058,33.102,0.801,0.262,0.951,0.743,19.557,1.411,62.197,0.04,0.814,8.079,7.791
"1444",0.669,32.468,0.39,2.533,0.421,0.01,137.306,76.476,85.846,0.746,0.17,0.336,79.101,0.52,514.454,0.176,1.637,1.492,1.497,1.29,1.014,0.41,0.068,2.942,3.852,2.707,0.227,0.367,0.367,0.045,929.411,13.92,23.959,90.437,6.704,2.669,31.363,18.494,65.381,0.31,0.473,1.387,0.988,2.995,3.379,7.323,0.002,0.2,9.299,7.435
"1445",0.735,18.998,0.575,2.122,0.858,4.607,1919.175,62.512,85.494,0.647,0.305,0.104,73.212,0.85,543.967,0.237,0.913,1.385,1.099,1.636,1.15,0.403,0.109,3.562,2.843,0.152,0.747,0.209,0.209,0.02,716.169,20.925,33.385,7.379,31.939,6.71,28.888,28.236,74.644,0.988,0.162,1.732,0.914,43,1.475,31.027,0.252,0.178,13.333,2.895
"1446",0.634,28.249,0.099,1.283,0.47,2.395,3533.068,61.537,82.996,0.376,0.35,0.391,21.218,0.645,885.971,0.13,0.882,1.114,1.248,1.169,1.68,0.342,0.065,1.935,4.032,1.392,0.766,0.659,0.659,0.08,749.093,21.394,31.154,84.959,26.48,16.039,24.565,4.405,2.935,0.972,0.689,1.027,0.968,40.529,2.356,70.263,0.617,0.933,3.891,0.014
"1447",0.754,10.228,0.355,4.623,0.11,4.824,263.282,70.276,82.945,0.166,0.817,0.349,103.225,0.861,753.66,0.243,1.481,0.942,1.624,1.23,1.178,0.417,0.097,2.138,3.491,2.133,0.743,0.319,0.319,0.051,652.25,20.143,10.514,111.815,11.489,19.766,15.352,29.138,7.886,0.152,0.728,1.467,0.62,34.563,4.269,71.325,1.271,0.321,0.74,8.819
"1448",0.797,31.91,0.213,3.702,0.268,0.241,1467.571,74.519,85.076,0.51,0.749,0.145,77.345,0.446,806.106,0.179,1.31,1.444,1.367,1.653,1.058,0.313,0.221,3.678,1.408,1.379,0.479,0.17,0.17,0.082,631.111,7.837,20.315,22.132,23.141,24.885,5.369,13.296,11.861,0.454,0.689,1.051,0.212,33.482,1.229,23.084,0.664,0.133,14.61,2.82
"1449",0.721,24.553,0.111,3.187,0.652,3.503,298.103,85.31,84.769,0.212,0.931,0.447,91.13,0.487,523.496,0.192,1.224,1.107,1.49,1.56,1.649,0.405,0.059,2.92,5.58,2.809,0.251,0.614,0.614,0.031,806.578,14.317,5.669,9.055,20.136,12.378,36.182,11.246,0.319,0.469,0.273,1.356,0.537,6.366,2.858,19.936,0.758,0.232,8.01,0.371
"1450",0.706,32.154,0.327,4.208,0.231,1.508,1501.202,62.337,84.324,0.925,0.291,0.083,104.462,0.937,639.05,0.187,1.475,1.33,1.535,1.313,1.209,0.338,0.117,1.418,1.851,0.601,0.34,0.448,0.448,0.067,781.803,34.697,11.269,73.02,25.04,4.363,20.492,28.843,80.07,0.81,0.499,1.221,0.962,52.113,2.542,20.304,0.268,0.735,11.93,6.875
"1451",0.713,22.228,0.216,0.409,0.276,3.264,3321.702,83.408,86.246,0.269,0.665,0.159,21.64,0.874,549.477,0.248,1.513,1.757,1.064,1.417,1.078,0.343,0.191,2.352,4.828,1.358,0.35,0.307,0.307,0.1,965.559,13.294,6.5,53.054,13.756,8.73,33.74,36.516,5.716,0.19,0.192,0.867,0.14,40.714,4.536,21.711,0.22,0.755,5.775,8.795
"1452",0.631,20.561,0.105,1.342,0.667,1.289,4899.562,88.686,82.927,0.436,0.881,0.063,69.186,0.773,883.475,0.179,1.065,1.639,1.737,1.276,1.027,0.405,0.239,0.807,1.745,1.613,0.853,0.318,0.318,0.035,821.127,18.704,11.605,51.412,34.262,6.27,34.661,43.115,39.046,0.818,0.268,1.675,0.12,6.338,3.107,58.178,0.36,0.434,7.772,3.336
"1453",0.748,17.972,0.452,4.018,0.44,4.853,3052.3,62.077,82.536,0.495,0.911,0.16,87.76,0.308,818.898,0.2,0.917,1.56,1.373,1.031,1.497,0.262,0.161,2.031,3.846,1.729,0.401,0.419,0.419,0.045,654.204,12.072,33.61,97.844,10.185,9.438,32.749,24.335,22.942,0.434,0.38,1.242,0.291,34.414,4.069,35.563,1.486,0.05,11.061,4.553
"1454",0.7,11.82,0.351,0.535,0.724,0.837,3448.27,82.344,82.122,0.56,0.784,0.344,29.253,0.158,875.595,0.235,1.124,1.582,1.653,1.718,1.057,0.417,0.126,0.996,5.307,1.097,0.927,0.42,0.42,0.05,803.035,8.718,5.623,69.603,21.328,12.369,40.306,43.167,83.068,0.222,0.241,1.073,0.873,52.333,0.776,31.021,0.182,0.861,6.416,1.282
"1455",0.764,19.622,0.599,4.366,0.389,0.049,2581.798,74.851,86.151,0.709,0.311,0.063,4.812,0.041,688.416,0.252,1.289,1.288,1.622,1.563,1.412,0.398,0.19,1.305,2.327,0.241,0.9,0.133,0.133,0.011,810.178,7.821,14.409,63.565,13.429,4.245,26.908,11.2,16.156,0.485,0.407,1.012,0.55,48.348,4.161,76.86,1.13,0.261,14.05,5.296
"1456",0.614,32.233,0.569,3.262,0.457,2.064,3681.822,83.333,83.151,0.531,0.842,0.053,128.247,0.196,612.249,0.201,1.484,1.351,1.059,1.455,1.3,0.426,0.07,0.932,5.424,1.526,0.966,0.399,0.399,0.026,929.523,23.655,29.943,81.904,19.168,2.006,19.727,12.571,53.35,0.978,0.637,1.161,0.551,56.343,1.331,37.621,0.461,0.044,8.526,6.093
"1457",0.773,32.04,0.541,4.99,0.635,4.368,3883.459,74.288,86.553,0.248,0.643,0.18,21.081,0.187,671.511,0.261,1.613,1.665,1.399,1.11,1.016,0.421,0.063,1.266,2.88,2.777,0.71,0.259,0.259,0.066,703.068,9.606,31.957,142.405,12.354,23.31,8.669,22.425,52.786,0.743,0.418,0.985,0.69,35.715,4.538,30.304,1.278,0.488,9.857,4.171
"1458",0.784,26.633,0.271,1.608,0.937,3.313,3513.13,84.84,86.476,0.838,0.164,0.24,118.127,0.743,811.45,0.292,1.212,1.154,1.411,1.092,1.704,0.278,0.085,0.905,1.138,0.784,0.104,0.19,0.19,0.035,970.091,19.855,13.337,34.094,34.558,9.626,38.665,27.599,1.892,0.047,0.509,1.136,0.257,6.036,2.751,48.559,0.598,0.788,11.397,1.744
"1459",0.743,28.44,0.257,3.691,0.579,3.333,2355.705,67.637,86.188,0.391,0.14,0.402,129.677,0.474,894.893,0.168,1.254,0.939,1.377,1.512,1.262,0.335,0.061,3.983,3.582,0.668,0.162,0.527,0.527,0.045,995.908,24.445,14.083,128.099,5.963,7.917,34.249,44.649,20.42,0.932,0.739,1.479,0.968,15.389,1.911,0.654,0.314,0.494,13.351,6.225
"1460",0.696,11.055,0.183,1.79,0.12,3.825,1290.564,66.664,87.9,0.856,0.248,0.108,106.785,0.943,519.488,0.181,1.319,0.88,1.645,1.427,1.577,0.407,0.163,1.936,3.257,2.878,0.319,0.227,0.227,0.037,919.254,9.76,13.927,135.59,33.232,1.76,22.532,25.571,87.778,0.606,0.741,0.974,0.743,33.002,0.533,6.069,0.77,0.561,8.302,9.095
"1461",0.748,33.183,0.638,4.281,0.853,3.263,2267.419,90.598,85.365,0.804,0.023,0.09,116.57,0.061,743.461,0.299,0.87,0.957,1.474,0.911,1.262,0.357,0.109,2.611,1.092,2.055,0.486,0.482,0.482,0.081,720.981,11.89,28.491,136.595,28.49,16.407,37.075,22.823,25.575,0.231,0.316,1.571,0.114,21.831,4.846,26.368,1.173,0.036,7.57,7.143
"1462",0.711,24.606,0.59,1.548,0.353,1.58,3041.75,66.541,84.568,0.812,0.251,0.036,27.936,0.963,880.532,0.254,1.489,1.52,1.473,1.521,1.513,0.337,0.193,0.508,4.225,0.847,0.8,0.542,0.542,0.013,750.379,32.928,20.692,72.916,15.716,11.016,38.782,28.575,5.247,0.052,0.483,1.106,0.231,54.888,2.555,4.435,1.474,0.649,11.093,0.82
"1463",0.793,21.439,0.256,0.201,0.648,2.653,2555.306,67.632,84.02,0.427,0.247,0.344,132.18,0.18,716.532,0.222,1.743,1.189,1.46,1.364,1.11,0.421,0.099,0.598,4.413,0.921,0.264,0.174,0.174,0.03,737.263,6.705,6.757,86.344,22.765,21.121,8.944,14.219,30.782,0.491,0.562,1.514,0.012,17.878,1.25,29.824,0.484,0.473,13.87,4.892
"1464",0.681,21.957,0.339,1.893,0.258,1.223,1397.187,87.756,86.865,0.129,0.587,0.185,74.951,0.551,813.351,0.167,1.175,1.134,1.096,1.5,1.182,0.285,0.052,2.159,0.674,2.491,0.963,0.477,0.477,0.013,856.769,8.714,12.726,134.592,10.594,6.062,23.227,16.43,78.849,0.365,0.244,1.181,0.055,30.179,4.455,34.173,1.16,0.165,8.588,6.711
"1465",0.718,15.312,0.491,4.164,0.36,2.334,2346.669,67.514,84.35,0.432,0.333,0.085,104.907,0.375,593.918,0.255,1.179,0.864,1.014,1.063,1.368,0.261,0.196,2.822,3.942,2.031,0.309,0.52,0.52,0.012,769.392,17.549,27.344,135.222,13.478,7.059,32.576,15.897,83.254,0.51,0.708,0.965,0.848,30.831,1.419,51.046,1.252,0.874,9.466,2.949
"1466",0.657,27.141,0.488,2.827,0.22,2.171,532.505,86.727,87.742,0.39,0.814,0.015,80.509,0.247,836.012,0.15,1.616,1.599,1.511,1.052,1.165,0.282,0.141,3.58,3.076,2.984,0.542,0.309,0.309,0.028,923.274,17.08,29.502,118.328,5.954,13.706,5.226,49.594,33.391,0.364,0.421,1.317,0.868,40.065,1.172,63.365,0.974,0.18,3.753,7.603
"1467",0.678,20.827,0.548,4.519,0.349,1.086,3750.898,70.167,83.168,0.414,0.188,0.443,21.708,0.305,509.231,0.274,1.42,1.076,1.137,1.293,1.46,0.257,0.144,2.066,5.954,1.806,0.464,0.32,0.32,0.058,716.477,15.39,14.944,33.803,5.018,20.728,34.907,39.393,82.362,0.829,0.763,1.601,0.984,43.954,2.529,54.247,0.096,0.365,2.077,2.261
"1468",0.75,13.15,0.392,3.302,0.164,1.091,4797.859,67.233,83.741,0.472,0.741,0.292,92.619,0.337,656.061,0.21,1.028,1.714,1.354,1.104,1.196,0.427,0.172,2.057,3.987,0.64,0.841,0.556,0.556,0.097,997.52,31.801,13.665,30.206,17.033,9.817,41.795,20.476,72.263,0.555,0.269,1.168,0.39,32.541,3.519,43.751,0.246,0.35,10.323,6.311
"1469",0.606,23.929,0.167,2.037,0.981,2.41,4137.712,80.472,85.291,0.335,0.589,0.397,26.928,0.304,510.148,0.214,0.919,1.177,1.456,1.441,1.234,0.394,0.117,0.581,1.193,0.981,0.841,0.241,0.241,0.055,791.064,33.523,21.141,37.192,34.626,21.83,22.801,47.891,11.347,0.512,0.5,0.878,0.155,21.411,2.321,39.854,0.857,0.692,1.934,3.106
"1470",0.693,29.519,0.248,1.933,0.245,4.917,1091.258,81.418,84.791,0.321,0.116,0.046,51.337,0.198,871.808,0.152,1.722,1.649,1.328,1.166,0.912,0.269,0.187,3.7,4.539,2.918,0.484,0.619,0.619,0.028,928.65,5.312,33.883,65.433,15.334,17.724,38.611,41.853,88.256,0.819,0.171,1.202,0.413,18.501,0.603,16.66,0.87,0.555,11.303,8.838
"1471",0.76,22.234,0.128,2.717,0.674,0.156,4135.663,78.492,86.305,0.09,0.88,0.2,102.403,0.257,608.174,0.237,1.543,1.414,1.587,1.689,1.719,0.31,0.087,1.615,1.479,1.994,0.557,0.442,0.442,0.068,977.769,6.431,33.79,86.457,31.128,3.023,8.649,17.515,12.754,0.067,0.204,1.562,0.175,41.336,4.066,52.969,1.334,0.322,12.261,0.718
"1472",0.699,28.632,0.648,4.262,0.426,0.215,127.927,88.354,87.568,0.39,0.2,0.033,118.814,0.136,854.527,0.204,1.001,1.192,1.539,1.45,1.567,0.302,0.128,2.327,1.434,2.639,0.206,0.629,0.629,0.053,601.605,22.773,31.825,117.371,14.927,9.207,38.241,14.96,60.261,0.742,0.673,1.622,0.3,36.656,4.622,8.574,0.427,0.889,13.144,8.994
"1473",0.675,13.75,0.431,3.954,0.827,4.026,2995.422,70.764,82.757,0.434,0.05,0.017,13.186,0.327,830.71,0.113,1.186,1.322,1.46,1.382,0.956,0.391,0.123,0.587,2.264,1.673,0.443,0.148,0.148,0.042,609.307,14.147,13.806,85.898,32.406,8.868,23.007,14.758,39.134,0.585,0.736,1.522,0.974,35.848,3.18,44.266,0.761,0.549,9.238,4.757
"1474",0.709,19.83,0.095,1.658,0.572,3.548,3335.94,76.74,87.617,0.951,0.542,0.281,36.561,0.795,754.643,0.22,0.868,1.018,1.537,1.484,0.887,0.409,0.21,2.044,3.663,1.008,0.182,0.167,0.167,0.014,787.585,33.361,34.537,145.352,24.024,11.378,20.576,9.543,49.775,0.918,0.262,1.391,0.402,32.294,1.627,70.315,1.001,0.919,11.644,3.484
"1475",0.657,34.012,0.163,0.763,0.257,3.649,1219.215,86.454,83.205,0.41,0.238,0.199,8.085,0.473,780.541,0.257,1.071,1.692,0.958,0.941,1.122,0.294,0.227,2.695,4.333,0.556,0.404,0.221,0.221,0.051,704.958,11.519,20.916,9.899,34.785,8.486,8.256,13.407,22.361,0.537,0.543,1.356,0.709,32.092,2.567,5.996,0.842,0.935,10.952,6.688
"1476",0.661,15.348,0.071,2.443,0.526,1.943,134.276,89.743,82.522,0.525,0.749,0.343,108.244,0.645,628.226,0.214,1.702,1.097,1.168,1.641,0.988,0.32,0.089,0.028,1.989,0.762,0.674,0.651,0.651,0.082,783.384,31.651,23.85,15.963,15.249,6.847,27.368,22.898,43.982,0.687,0.151,1.109,0.616,5.593,0.681,41.379,1.122,0.291,5.096,1.921
"1477",0.781,30.666,0.538,2.276,0.4,4.356,975.821,69.887,86.061,0.993,0.703,0.162,124.381,0.205,502.937,0.146,1.06,1.386,1.305,1.002,1.307,0.344,0.081,0.556,3.119,2.033,0.602,0.263,0.263,0.069,937.668,7.389,8.091,64.126,23.256,19.405,31.546,17.19,18.885,0.991,0.238,1.248,0.765,7.333,4.29,31.625,0.031,0.122,12.915,3.209
"1478",0.639,21.472,0.254,1.023,0.787,2.101,1782.493,64.694,83.978,0.318,0.399,0.091,52.019,0.01,869.408,0.269,1.455,1.614,1.199,1.305,1.112,0.303,0.192,3.099,4.773,2.593,0.399,0.647,0.647,0.038,765.532,11.371,10.817,69.012,10.223,8.273,24.892,44.209,69.846,0.21,0.655,1.08,0.329,30.926,0.083,65.787,0.374,0.592,2.047,1.353
"1479",0.688,25.28,0.144,2.019,0.456,0.385,210.948,87.703,86.6,0.033,0.267,0.312,63.747,0.373,661.831,0.19,1.405,1.024,1.07,1.483,1.11,0.271,0.156,3.02,0.604,1.112,0.486,0.258,0.258,0.086,683.027,16.378,30.87,114.385,26.88,10.824,17.073,4.628,38.483,0.285,0.545,1.314,0.518,47.488,4.059,1.655,0.838,0.394,6.848,3.507
"1480",0.78,29.187,0.605,0.22,0.269,0.296,2676.752,87.748,86.673,0.014,0.664,0.127,3.091,0.851,551.388,0.131,0.955,1.099,1.395,1.465,0.87,0.292,0.19,1.377,4.029,0.123,0.444,0.325,0.325,0.051,763.374,34.339,18.652,43.09,12.386,20.192,11.4,32.369,44.818,0.417,0.126,1.118,0.941,13.017,0.288,12.5,1.199,0.905,14.375,1.179
"1481",0.613,16.859,0.484,1.196,0.43,1.85,501.767,64.132,83.31,0.069,0.688,0.124,16.329,0.585,657.42,0.165,1.193,1.384,1.197,1.266,1.054,0.363,0.052,3.363,2.215,0.502,0.913,0.267,0.267,0.026,689.464,17.148,5.846,69.577,8.711,0.642,20.618,22.636,67.185,0.956,0.502,1.415,0.986,27.586,0.018,44.22,0.682,0.389,8.309,2.616
"1482",0.713,16.362,0.336,3.705,0.39,0.168,3265.015,63.667,87.373,0.916,0.618,0.179,122.204,0.182,558.338,0.179,1.152,0.885,0.925,1.625,1.424,0.339,0.197,0.127,0.32,2.229,0.539,0.354,0.354,0.094,627.231,18.217,23.784,42.958,25.84,7.904,16.202,19.302,41.032,0.443,0.585,1.135,0.179,25.946,3.544,1.372,0.597,0.27,11.686,3.369
"1483",0.66,18.833,0.359,4.51,0.995,1.488,1840.726,61.899,86.139,0.531,0.217,0.33,42.414,0.763,877.283,0.252,1.755,1.088,1.108,1.734,0.926,0.364,0.193,3.9,0.388,0.678,0.259,0.24,0.24,0.057,788.718,26.304,7.69,79.697,34.757,1.586,21.997,48.302,47.64,0.632,0.338,1.29,0.588,57.884,4.873,77.015,1.482,0.059,0.893,2.084
